"idVolume";"numCom";"lettre";"numVol";"largeur";"hauteur";"X0";"Y0";"dateFabrication";"heureFabrication";"commentaire"
11;"""18,10411""";"A";0;1348;900;0;0;"2018-04-06";"";"fait"
12;"""18,10422""";"A";0;1350;845;0;0;"2018-05-15";"";"supprime"
22;"""18,12391""";"A";0;300;300;0;0;"2019-04-01";"";"fait"
23;"";"";0;2250;850;0;0;"2019-04-08";"";"fait"
24;"";"";0;2250;850;0;0;"2019-04-08";"";"fait"
25;"""19,13456""";"";0;300;300;0;0;"2019-04-15";"";"fait"
26;"";"";0;1900;600;0;0;"2019-04-15";"";"fait"
27;"""18,12391""";"A";0;300;300;0;0;"2019-04-15";"";"fait"
28;"""18,12391""";"A";0;300;300;0;0;"2019-04-15";"";"fait"
29;"""18,12391""";"A";0;300;300;0;0;"2019-04-15";"";"fait"
30;"""18,12391""";"A";0;300;300;0;0;"2019-04-15";"";"fait"
31;"""18,12391""";"A";0;300;300;0;0;"2019-04-15";"";"fait"
32;"""18,12391""";"A";0;300;300;0;0;"2019-04-15";"";"fait"
33;"""18,12391""";"A";0;300;300;0;0;"2019-04-15";"";"fait"
34;"""18,12391""";"A";0;300;300;0;0;"2019-04-15";"";"fait"
35;"""18,12391""";"A";0;300;300;0;0;"2019-04-15";"";"fait"
36;"""18,12391""";"A";0;300;300;0;0;"2019-04-15";"";"fait"
37;"""18,12391""";"A";0;300;300;0;0;"2019-04-15";"";"fait"
38;"""18,12391""";"A";0;300;300;0;0;"2019-04-15";"";"fait"
39;"""18,12391""";"A";0;300;300;0;0;"2019-04-15";"";"fait"
40;"";"";0;1600;450;0;0;"2019-04-15";"";"fait"
