"idType";"nomType";"epType";"masseType";"codeAGCType";"sousfamille_type_idSousFamille_Type";"descriptionCourte";"descriptionComplete"
1;"";6.0;15.0;"331HE";2;"03031HE";"""Verre feuillete 33.1 Clair"""
2;"";6.0;15.0;"332HE";2;"03032HE";"""Verre feuillete 33.2 Clair"""
3;"";8.0;20.0;"442HE";2;"04042HE";"""Verre feuillete 44.2 Clair"""
4;"";12.0;30.0;"662HE";2;"06062HE";"""Verre feuillete 66.2 Clair"""
5;"";16.0;40.0;"0808DG41";2;"10102DG41";"""Verre feuillete 0808.2 DG41 Clair"""
6;"";16.0;40.0;"08082HE";1;"08082HE";"""Verre feuillete 88.2 Clair"""
7;"";16.0;40.0;"08082OP";2;"08082HE";"""Verre feuillete 88.2 Opalin"""
8;"";20.0;50.0;"10102DG41";2;"10102DG41";"""VERRE FEUILLETE 1010.2 DG41 CLAIR"""
9;"";20.0;50.0;"10102HE";2;"10102HE";"""VERRE FEUILLETE 1010.2 CLAIR"""
10;"";20.0;50.0;"10102OP";1;"10102OP";"""VERRE FEUILLETE 1010.2 OPALIN"""
11;"";24.0;60.0;"1212.2HE";2;"1212.2HE";"""VERRE FEUILLETE 1212.2 CLAIR"""
12;"";24.0;60.0;"1212.2XC";3;"1212.2XC";"""VERRE FEUILLETE 1212.2 EXTRA CLAIR"""
13;"";24.0;60.0;"1212.2OP";1;"1212.2OP";"""VERRE FEUILLETE 1212.2 OPALIN"""
14;"";15.0;37.0;"12009";4;"""Klaar 15""";"""FLOAT CLAIR 15MM"""
15;"";15.0;37.0;"14016";5;"""XtraHelder 15""";"""FLOAT EXTRA CLAIR 15MM"""
16;"";19.0;47.0;"12010";4;"""Klaar 19""";"""FLOAT CLAIR 19MM"""
17;"";19.0;47.0;"14019";5;"""XtraHelder 19""";"""FLOAT EXTRA CLAIR 19 MM"""
18;"";8.0;17.0;"PB7";6;"""PYRO 07""";"""PYROBELITE 7"""
19;"";11.0;25.0;"PB7EG";6;"""PYRO 07 EG""";"""PYROBELITE 7 EG EW 30"""
20;"";17.0;40.0;"PB16";6;"""PYRO 16 EI""";"""PYROBEL 16 EI 30"""
21;"";21.0;48.0;"PB16EG";6;"""PYRO 16 EG""";"""PYROBEL 16 EG EI 30"""
22;"";22.0;55.0;"PB17NEG";6;"""PYRO 17N EG""";"""PYROBEL 17N EG6"""
23;"";24.0;55.0;"PB16EG6";6;"""PYRO 16 EG6""";"""PYROBEL 16 EG6 EI 30"""
24;"";24.0;60.0;"PB25";6;"""PYRO 25 EI""";"""PYROBEL 25 EI 60"""
25;"";27.0;68.0;"PB25EG";6;"""PYRO 25 EG""";"""PYROBEL 25 EG EI 60"""
26;"";53.0;122.0;"PB53N";6;"""PYRO 53N EI""";"""PYROBEL 53 EI 120"""
31;"essai";30.0;15.0;"ZZZZ";6;"testtest";"test"
