idVolume,numCom,lettre,numVol,largeur,hauteur,X0,Y0,dateFabrication,heureFabrication,commentaire
11,"18,10411",A,NULL,1348,900,NULL,NULL,2018-04-06,NULL,fait
12,"18,10422",A,NULL,1350,845,NULL,NULL,2018-05-15,NULL,supprime
22,"18,12391",A,NULL,300,300,NULL,NULL,2019-04-01,NULL,fait
23,,,NULL,2250,850,NULL,NULL,2019-04-08,NULL,fait
24,,,NULL,2250,850,NULL,NULL,2019-04-08,NULL,fait
25,"19,13456",,NULL,300,300,NULL,NULL,2019-04-15,NULL,fait
26,,,NULL,1900,600,NULL,NULL,2019-04-15,NULL,fait
27,"18,12391",A,NULL,300,300,NULL,NULL,2019-04-15,NULL,fait
28,"18,12391",A,NULL,300,300,NULL,NULL,2019-04-15,NULL,fait
29,"18,12391",A,NULL,300,300,NULL,NULL,2019-04-15,NULL,fait
30,"18,12391",A,NULL,300,300,NULL,NULL,2019-04-15,NULL,fait
31,"18,12391",A,NULL,300,300,NULL,NULL,2019-04-15,NULL,fait
32,"18,12391",A,NULL,300,300,NULL,NULL,2019-04-15,NULL,fait
33,"18,12391",A,NULL,300,300,NULL,NULL,2019-04-15,NULL,fait
34,"18,12391",A,NULL,300,300,NULL,NULL,2019-04-15,NULL,fait
35,"18,12391",A,NULL,300,300,NULL,NULL,2019-04-15,NULL,fait
36,"18,12391",A,NULL,300,300,NULL,NULL,2019-04-15,NULL,fait
37,"18,12391",A,NULL,300,300,NULL,NULL,2019-04-15,NULL,fait
38,"18,12391",A,NULL,300,300,NULL,NULL,2019-04-15,NULL,fait
39,"18,12391",A,NULL,300,300,NULL,NULL,2019-04-15,NULL,fait
40,,,NULL,1600,450,NULL,NULL,2019-04-15,NULL,fait
