"idListeVolume";"numCom";"lettre";"x";"nnn";"datelivraison";"typeverre";"largeur";"hauteur";"faconnage";"commentaire";"chutesug"
1;"""18,10418""";"A";2;1;"2018-10-05";"PB16";"1345";"945";"""MERK A""";"";"""1295(65%) 127(59%)"""
2;"""18,10418""";"A";2;2;"2018-10-05";"PB16";"1345";"945";"""MERK 1""";"";"""129(65%) 127(59%)"""
3;"""18,11749""";"A";1;1;"2018-09-28";"PB16";"1910";"466";"""INTERIEUROP 18211096/2""";"";"134(89%)"
4;"""18,12391""";"A";2;1;"2018-10-01";"PB16";"280";"280";"CIRKLEB";"";"""131(17%) 130(9%)"""
6;"""18,12393""";"A";1;1;"2018-10-01";"PB16";"1968";"706";"";"";"133(86%)"
7;"""18,12971""";"A";3;1;"2018-09-28";"PB25";"1270";"893";"""1270 MM = VISIONLINE""";"URGENT";"""144(74%) 141(58%) 139(53%)"""
8;"""18,12971""";"A";3;2;"2018-09-28";"PB25";"1270";"893";"""1270 MM = VISIONLINE""";"URGENT";"""144(74%) 141(58%) 139(53%)"""
9;"""18,12971""";"A";3;3;"2018-09-28";"PB25";"1270";"893";"""1270 MM = VISIONLINE""";"URGENT";"""144(74%) 141(58%) 139(53%)"""
10;"""18,13087""";"C";2;1;"2018-10-16";"PB16";"2502";"913";"""2502 VL""";"";""
11;"""18,13087""";"C";2;2;"2018-10-16";"PB16";"2502";"913";"""2502 VL""";"";""
16;"""18,13087""";"G";2;1;"2018-10-16";"PB16";"2502";"913";"""2502 VL""";"";""
18;"123456";"Z";3;1;"2019-06-20";"332HE";"391";"234";"test";"test";""
19;"123456";"Z";3;2;"2019-06-20";"332HE";"391";"234";"test";"test";""
20;"123456";"Z";3;3;"2019-06-20";"332HE";"391";"234";"test";"test";""
